Date,City,Country,Mode,Ridership,Population_Million,Passenger_per_Capita,GDP_Billion_USD,PM25_Mean_ug_m3
2023-04-01,Bangkok,Thailand,ARL,1637640.0,11.09,0.14766816952209197,536.0,21.4
2023-04-01,Bangkok,Thailand,BTS,18722319.0,11.09,1.6882163210099188,536.0,21.4
2023-04-01,Bangkok,Thailand,MRT,10346925.0,11.09,0.9329959422903517,536.0,21.4
2023-04-01,Bangkok,Thailand,RL,527266.0,11.09,0.04754427412082957,536.0,21.4
2023-04-01,Bangkok,Thailand,SRT,1983965.0,11.09,0.17889675383228135,536.0,21.4
2023-05-01,Bangkok,Thailand,ARL,1775371.0,11.09,0.16008755635707844,536.0,21.4
2023-05-01,Bangkok,Thailand,BTS,20560315.0,11.09,1.8539508566275924,536.0,21.4
2023-05-01,Bangkok,Thailand,MRT,11113329.0,11.09,1.0021036068530207,536.0,21.4
2023-05-01,Bangkok,Thailand,RL,551548.0,11.09,0.04973381424706943,536.0,21.4
2023-05-01,Bangkok,Thailand,SRT,1949409.0,11.09,0.17578079350766457,536.0,21.4
2023-06-01,Bangkok,Thailand,ARL,1837033.0,11.09,0.16564770063119927,536.0,21.4
2023-06-01,Bangkok,Thailand,BTS,21837612.0,11.09,1.969126420198377,536.0,21.4
2023-06-01,Bangkok,Thailand,MRT,11907515.0,11.09,1.0737164111812443,536.0,21.4
2023-06-01,Bangkok,Thailand,RL,619262.0,11.09,0.055839675383228135,536.0,21.4
2023-06-01,Bangkok,Thailand,SRT,1896405.0,11.09,0.17100135256988278,536.0,21.4
2023-06-01,Bangkok,Thailand,YL,1537364.0,11.09,0.13862614968440037,536.0,21.4
2023-07-01,Bangkok,Thailand,ARL,1894419.0,11.09,0.17082227231740307,536.0,21.4
2023-07-01,Bangkok,Thailand,BTS,23105896.0,11.09,2.0834892696122633,536.0,21.4
2023-07-01,Bangkok,Thailand,MRT,13538460.0,11.09,1.2207808836789902,536.0,21.4
2023-07-01,Bangkok,Thailand,RL,643236.0,11.09,0.058001442741208296,536.0,21.4
2023-07-01,Bangkok,Thailand,SRT,2107334.0,11.09,0.1900211000901713,536.0,21.4
2023-07-01,Bangkok,Thailand,YL,1199407.0,11.09,0.10815211902614968,536.0,21.4
2023-08-01,Bangkok,Thailand,ARL,2012694.0,11.09,0.1814872858431019,536.0,21.4
2023-08-01,Bangkok,Thailand,BTS,23961579.0,11.09,2.160647339945897,536.0,21.4
2023-08-01,Bangkok,Thailand,MRT,14827997.0,11.09,1.3370601442741208,536.0,21.4
2023-08-01,Bangkok,Thailand,RL,675437.0,11.09,0.06090504959422904,536.0,21.4
2023-08-01,Bangkok,Thailand,SRT,2140691.0,11.09,0.19302894499549145,536.0,21.4
2023-08-01,Bangkok,Thailand,YL,1115982.0,11.09,0.10062957619477006,536.0,21.4
2023-09-01,Bangkok,Thailand,ARL,1971428.0,11.09,0.1777662759242561,536.0,21.4
2023-09-01,Bangkok,Thailand,BTS,23264089.0,11.09,2.097753742110009,536.0,21.4
2023-09-01,Bangkok,Thailand,MRT,14419498.0,11.09,1.3002252479711451,536.0,21.4
2023-09-01,Bangkok,Thailand,RL,672646.0,11.09,0.06065338142470694,536.0,21.4
2023-09-01,Bangkok,Thailand,SRT,1936209.0,11.09,0.17459053201082056,536.0,21.4
2023-09-01,Bangkok,Thailand,YL,1093003.0,11.09,0.09855752930568079,536.0,21.4
2023-10-01,Bangkok,Thailand,ARL,1968325.0,11.09,0.17748647430117223,536.0,21.4
2023-10-01,Bangkok,Thailand,BTS,22587934.0,11.09,2.036783949504058,536.0,21.4
2023-10-01,Bangkok,Thailand,MRT,14700384.0,11.09,1.3255531109107304,536.0,21.4
2023-10-01,Bangkok,Thailand,RL,744316.0,11.09,0.06711596032461677,536.0,21.4
2023-10-01,Bangkok,Thailand,SRT,2288610.0,11.09,0.20636699729486024,536.0,21.4
2023-10-01,Bangkok,Thailand,YL,1102113.0,11.09,0.0993789900811542,536.0,21.4
2023-11-01,Bangkok,Thailand,ARL,2000202.0,11.09,0.18036086564472498,536.0,21.4
2023-11-01,Bangkok,Thailand,BTS,24008712.0,11.09,2.16489738503156,536.0,21.4
2023-11-01,Bangkok,Thailand,MRT,14944009.0,11.09,1.3475211000901712,536.0,21.4
2023-11-01,Bangkok,Thailand,PK,896581.0,11.09,0.0808458972046889,536.0,21.4
2023-11-01,Bangkok,Thailand,RL,803052.0,11.09,0.07241226330027051,536.0,21.4
2023-11-01,Bangkok,Thailand,SRT,2111602.0,11.09,0.19040595130748422,536.0,21.4
2023-11-01,Bangkok,Thailand,YL,1084674.0,11.09,0.09780649233543733,536.0,21.4
2023-12-01,Bangkok,Thailand,ARL,1972075.0,11.09,0.17782461677186653,536.0,21.4
2023-12-01,Bangkok,Thailand,BTS,24059631.0,11.09,2.1694888187556356,536.0,21.4
2023-12-01,Bangkok,Thailand,MRT,14340736.0,11.09,1.2931231740306584,536.0,21.4
2023-12-01,Bangkok,Thailand,PK,2450880.0,11.09,0.22099909828674483,536.0,21.4
2023-12-01,Bangkok,Thailand,RL,820689.0,11.09,0.07400261496844003,536.0,21.4
2023-12-01,Bangkok,Thailand,SRT,2310792.0,11.09,0.20836717763751128,536.0,21.4
2023-12-01,Bangkok,Thailand,YL,1163804.0,11.09,0.10494174932371506,536.0,21.4
2024-01-01,Bangkok,Thailand,ARL,2009917.0,11.27,0.17834223602484472,548.0,21.7
2024-01-01,Bangkok,Thailand,BTS,21878570.0,11.27,1.9413105590062112,548.0,21.7
2024-01-01,Bangkok,Thailand,MRT,15107440.0,11.27,1.340500443655723,548.0,21.7
2024-01-01,Bangkok,Thailand,PK,1576412.0,11.27,0.1398768411712511,548.0,21.7
2024-01-01,Bangkok,Thailand,RL,869313.0,11.27,0.07713513753327418,548.0,21.7
2024-01-01,Bangkok,Thailand,SRT,2227036.0,11.27,0.19760745341614908,548.0,21.7
2024-01-01,Bangkok,Thailand,YL,1064150.0,11.27,0.09442324755989352,548.0,21.7
2024-02-01,Bangkok,Thailand,ARL,2007382.0,11.27,0.17811730257320318,548.0,21.7
2024-02-01,Bangkok,Thailand,BTS,21682119.0,11.27,1.9238792369121562,548.0,21.7
2024-02-01,Bangkok,Thailand,MRT,14848229.0,11.27,1.3175003549245785,548.0,21.7
2024-02-01,Bangkok,Thailand,PK,1434823.0,11.27,0.12731348713398402,548.0,21.7
2024-02-01,Bangkok,Thailand,RL,878693.0,11.27,0.07796743566992015,548.0,21.7
2024-02-01,Bangkok,Thailand,SRT,2147764.0,11.27,0.19057355811889973,548.0,21.7
2024-02-01,Bangkok,Thailand,YL,1082370.0,11.27,0.09603992901508429,548.0,21.7
